,Depósito Padre,Descripción,cajas_x_pallets,Dias al Vencimiento,Lote,Fecha de Vencimiento,SKU,Cajas Disponibles
89,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",144,229,150923                        ,6/11/2024,6030010019               ,0.0
90,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",144,250,061023                        ,7/2/2024,6030010019               ,11178.0
91,       CDGD,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",377,130,080723                        ,3/4/2024,6030010129               ,285.0
92,       CDGD,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",377,158,050823                        ,4/1/2024,6030010129               ,2291.0
93,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",272,206,220823                        ,5/19/2024,6030010170               ,210.0
94,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",272,213,300823                        ,5/26/2024,6030010170               ,0.0
95,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",272,215,010923                        ,5/28/2024,6030010170               ,1564.0
96,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",272,220,060923                        ,6/2/2024,6030010170               ,272.0
97,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",272,224,100923                        ,6/6/2024,6030010170               ,272.0
98,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",272,232,180923                        ,6/14/2024,6030010170               ,272.0
99,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",272,235,210923                        ,6/17/2024,6030010170               ,3536.0
100,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",272,247,031023                        ,6/29/2024,6030010170               ,24752.0
101,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",272,251,071023                        ,7/3/2024,6030010170               ,6528.0
102,       CDGD,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",80,139,170623                        ,3/13/2024,6030010208               ,2.0
103,       CDGD,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",80,209,260823                        ,5/22/2024,6030010208               ,119.0
104,       CDGD,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",80,215,010923                        ,5/28/2024,6030010208               ,640.0
105,       CDGD,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",80,252,081023                        ,7/4/2024,6030010208               ,3200.0
106,       CDGD,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",108,165,130723                        ,4/8/2024,6030010026               ,83.0
107,       CDGD,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",108,215,010923                        ,5/28/2024,6030010026               ,0.0
108,       CDGD,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",108,249,051023                        ,7/1/2024,6030010026               ,9432.0
109,       CDGD,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",260,220,070823                        ,6/2/2024,6090020009               ,0.0
110,       CDGD,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",260,237,240823                        ,6/19/2024,6090020009               ,524.0
111,       CDGD,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",260,256,120923                        ,7/8/2024,6090020009               ,780.0
112,       CDGD,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",260,262,140923                        ,7/14/2024,6090020009               ,1560.0
113,       CDGD,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",260,275,011023                        ,7/27/2024,6090020009               ,2600.0
114,       CDGD,"MOSTAZA,ADEREZO NATURA,12,500G,DP,CT,ESP,M.I.",144,186,040723                        ,4/29/2024,6090020011               ,0.0
115,       CDGD,"MOSTAZA,ADEREZO NATURA,12,500G,DP,CT,ESP,M.I.",144,220,070823                        ,6/2/2024,6090020011               ,261.0
116,       CDGD,"MOSTAZA,ADEREZO NATURA,12,500G,DP,CT,ESP,M.I.",144,256,120923                        ,7/8/2024,6090020011               ,144.0
117,       CDGD,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.",377,179,260823                        ,4/22/2024,6090020010               ,367.0
118,       CDGD,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.",377,199,150923                        ,5/12/2024,6090020010               ,1508.0
119,       CDGD,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.",80,151,300523                        ,3/25/2024,6090020012               ,25.0
120,       CDGD,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.",80,237,240823                        ,6/19/2024,6090020012               ,96.0
121,       CDGD,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.",80,263,190923                        ,7/15/2024,6090020012               ,80.0
122,       CDGD,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.",224,688,257/23                        ,9/13/2025,6010140007               ,2602.0
123,       CDGD,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.",224,689,258/23                        ,9/14/2025,6010140007               ,896.0
124,       CDGD,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",224,689,258/23                        ,9/14/2025,6010140008               ,25.0
125,       CDGD,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",224,690,259/23                        ,9/15/2025,6010140008               ,1152.0
126,       CDGD,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",224,692,261/23                        ,9/17/2025,6010140008               ,896.0
