,Artículo@Cliente (Facturación) None,Artículo@DESC,Boca de Entrega@Cliente (Facturación) None,Boca de Entrega@DESC,Dias Mínimo
137,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241227,MAXICONSUMO S.A. (SAN MIGUEL DE TUCUMAN),120.0
138,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241229,MAXICONSUMO S.A. (SANTA FE)             ,120.0
139,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241236,SUP. MAY. MAKRO S.A (CORDOBA)           ,90.0
140,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241237,SUP. MAY. MAKRO S.A (GODOY CRUZ)        ,90.0
141,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241245,COTO S.A. (BARRIO ESTEBAN ECHEVERRIA)   ,300.0
142,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241504,DISTRIBUIDORA COSIMI S.R.L.             ,120.0
143,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",242156,LA LUGUENZE S.A.                        ,120.0
144,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",242389,DISTRIBUIDORA NUEVO MILENIO S.R.L.      ,120.0
145,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",242392,ORGANIZACION CARRERA S.R.L.             ,120.0
146,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",242402,DALLIA MIGUEL DOMINGO                   ,120.0
147,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",242848,CAOVI S.A.                              ,120.0
148,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",242906,BASSO REPRESENTACIONES S.R.L.           ,120.0
149,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",242926,SEDRAN SANTOS FABIAN (SANTA FE)         ,120.0
150,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",242932,CHIMALE S.R.L.                          ,120.0
151,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",242940,SAJEL SOCIEDAD ANONIMA                  ,120.0
152,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",242957,EL OBRERO S.A.                          ,120.0
153,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",242958,NASR LUIS DANIEL Y NASR MIGUEL JESUS SH ,120.0
154,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",242964,CASA BERCHIA DE BERMUDEZ Y CHIAVAZZA SH ,120.0
155,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",242979,ALMITRANI MIGUEL                        ,120.0
156,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",242985,CYCOMAT S.R.L.                          ,120.0
157,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",243115,COSQUETA CARLOS J.Y ADRIAN A. SH        ,120.0
158,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",243245,HECTOR SOFFIETTI Y S.A.                 ,120.0
159,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",243249,BASABILBASO ALBERTO SALVADOR            ,120.0
160,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",243256,COMPARIN ABEL Y COMPARIN FABIAN SH      ,120.0
161,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",243263,KILBEL S.A.                             ,60.0
162,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",243264,MAGANI MARIO OSVALDO                    ,120.0
163,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",243271,WALKER HUGO RICARDO                     ,120.0
164,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",243278,SERRICHIO JUAN CARLOS ANTONIO           ,120.0
165,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",243282,SUPERMERCADOS BATTISTI S.R.L.           ,120.0
166,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",243356,MANASSERO MELINA ALEJANDRA              ,120.0
167,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",243613,UNION AGRICOLA DE ROMANG COOP.LTDA.     ,120.0
168,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",243657,FEDERICI HNOS. S.A.                     ,120.0
169,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",243724,SUPERM. MAYORISTAS YAGUAR (CAPITAL FED) ,120.0
170,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",244916,DORINKA S.R.L.SUPERCENTER (BAHIA BLANCA),120.0
