,Descripción,Lote,Dias al Vencimiento,Depósito Padre,cajas_x_pallets,Fecha de Vencimiento,SKU,Cajas Disponibles
162,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",110923                        ,685,       CDGD,60,9/10/2025,6010010112               ,26.0
163,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",110923                        ,685,       CDVM,60,9/10/2025,6010010112               ,12.0
164,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",110923                        ,685,    CDCDCO1,60,9/10/2025,6010010112               ,2880.0
165,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",120922                        ,321,    CDCDCO1,60,9/11/2024,6010010112               ,0.0
166,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",160822                        ,294,    CDCDCO1,60,8/15/2024,6010010112               ,0.0
167,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",170623                        ,603,    CDCDCO1,60,6/20/2025,6010010112               ,1440.0
168,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",170823                        ,660,    CDCDCO1,60,8/16/2025,6010010112               ,300.0
169,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",190923                        ,694,       CDGD,60,9/19/2025,6010010112               ,0.0
170,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",190923                        ,694,    CDCDCF1,60,9/19/2025,6010010112               ,1570.0
171,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",210223                        ,485,    CDCDCO1,60,2/22/2025,6010010112               ,236.0
172,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",221222                        ,422,    CDCDCO1,60,12/21/2024,6010010112               ,0.0
173,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",250723                        ,638,    CDCDCO1,60,7/25/2025,6010010112               ,0.0
174,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",260722                        ,273,       CDVM,60,7/25/2024,6010010112               ,0.0
175,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",270623                        ,609,    CDCDCO1,60,6/26/2025,6010010112               ,419.0
176,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",280923                        ,702,       CDGD,60,9/27/2025,6010010112               ,12.0
177,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",280923                        ,702,       CDVM,60,9/27/2025,6010010112               ,1980.0
178,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",280923                        ,702,    CDCDCO1,60,9/27/2025,6010010112               ,1440.0
179,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",290823                        ,672,       CDVM,60,8/28/2025,6010010112               ,42.0
180,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",010823                        ,644,    CDCDCO1,50,7/31/2025,6010010008               ,0.0
181,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",021023                        ,706,       CDGD,50,10/1/2025,6010010008               ,1610.0
182,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",021023                        ,706,       CDVM,50,10/1/2025,6010010008               ,2600.0
