,Depósito Padre,cajas_x_pallets,SKU,Descripción,Fecha de Vencimiento,Dias al Vencimiento,Lote,Cajas Disponibles
132,       CDGD,272,6030010170               ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",5/26/2024,213,300823                        ,0.0
133,       CDGD,272,6030010170               ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",5/28/2024,215,010923                        ,1564.0
134,       CDGD,272,6030010170               ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",6/2/2024,220,060923                        ,272.0
135,       CDGD,272,6030010170               ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",6/6/2024,224,100923                        ,272.0
136,       CDGD,272,6030010170               ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",6/14/2024,232,180923                        ,272.0
137,       CDGD,272,6030010170               ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",6/17/2024,235,210923                        ,3536.0
138,       CDGD,272,6030010170               ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",6/29/2024,247,031023                        ,24752.0
139,       CDGD,272,6030010170               ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",7/3/2024,251,071023                        ,6528.0
140,       CDGD,272,6030040073               ,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./ARL",6/20/2024,238,250823                        ,457.0
141,       CDGD,272,6030050069               ,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",4/23/2024,180,R280723                       ,204.0
142,       CDGD,272,6030050069               ,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",7/5/2024,253,R091023                       ,2788.0
143,       CDGD,272,6030050069               ,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",7/6/2024,254,R101023                       ,6800.0
144,       CDGD,272,6030050069               ,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",7/7/2024,255,R111023                       ,7344.0
145,       CDGD,272,6030050069               ,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",7/9/2024,257,R131023                       ,7150.0
146,       CDGD,272,6030050069               ,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",7/13/2024,261,R171023                       ,8160.0
147,       CDGD,272,6030050069               ,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",7/15/2024,263,R191023                       ,5440.0
148,       CDGD,272,6050100002               ,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.",4/25/2024,182,300723                        ,1109.0
149,       CDGD,272,6050100002               ,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.",6/25/2024,243,290923                        ,544.0
150,       CDGD,304,6010900017               ,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.",3/21/2025,512,220323                        ,234.0
151,       CDGD,377,6030010129               ,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",3/4/2024,130,080723                        ,285.0
152,       CDGD,377,6030010129               ,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",4/1/2024,158,050823                        ,2291.0
153,       CDGD,377,6040100001               ,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.",4/11/2024,168,150823                        ,1013.0
154,       CDGD,377,6090020010               ,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.",4/22/2024,179,260823                        ,367.0
155,       CDGD,377,6090020010               ,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.",5/12/2024,199,150923                        ,1508.0
156,       CDPI,80,6030010208               ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",3/7/2024,133,110623                        ,367.0
157,       CDPI,80,6030010208               ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",3/13/2024,139,170623                        ,3840.0
158,       CDPI,80,6030010208               ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",3/30/2024,156,040723                        ,9442.0
159,       CDPI,80,6030010208               ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",4/8/2024,165,130723                        ,5760.0
160,       CDPI,80,6030010208               ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",5/10/2024,197,140823                        ,5760.0
161,       CDPI,80,6030010208               ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",5/28/2024,215,010923                        ,1920.0
162,       CDPI,80,6030010208               ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",6/2/2024,220,060923                        ,7680.0
163,       CDPI,80,6030050074               ,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",4/2/2024,159,R070723                       ,281.0
164,       CDPI,80,6030050074               ,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",4/7/2024,164,R120723                       ,480.0
165,       CDPI,80,6030050074               ,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",4/27/2024,184,R010823                       ,1200.0
166,       CDPI,80,6030050074               ,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",4/28/2024,185,R020823                       ,1360.0
