,Descripción,Dias al Vencimiento,Fecha de Vencimiento,Depósito Padre,Lote,cajas_x_pallets,SKU,Cajas Disponibles
125,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",326,9/16/2024,    CDCDCO1,170922                        ,160,6010010184               ,0.0
126,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",354,10/14/2024,       CDGD,161022                        ,160,6010010184               ,160.0
127,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",354,10/14/2024,    CDCDCO1,161022                        ,160,6010010184               ,0.0
128,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",372,11/1/2024,       CDVM,021122                        ,160,6010010184               ,94.0
129,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",372,11/1/2024,    CDCDCO1,021122                        ,160,6010010184               ,0.0
130,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",415,12/14/2024,       CDGD,151222                        ,160,6010010184               ,183.0
131,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",415,12/14/2024,       CDVM,151222                        ,160,6010010184               ,360.0
132,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",415,12/14/2024,    CDCDCO1,151222                        ,160,6010010184               ,0.0
133,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",172,4/15/2024,      CDLDC,160422                        ,72,6010010077               ,0.0
134,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",230,6/12/2024,       CDVM,130622                        ,72,6010010077               ,0.0
135,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",283,8/4/2024,       CDGD,060822                        ,72,6010010077               ,0.0
136,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",294,8/15/2024,      CDLDC,160822                        ,72,6010010077               ,0.0
137,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",305,8/26/2024,    CDCDCO1,270822                        ,72,6010010077               ,0.0
138,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",314,9/4/2024,    CDCDCO1,060922                        ,72,6010010077               ,0.0
139,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",329,9/19/2024,    CDCDCO1,190922                        ,72,6010010077               ,0.0
140,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",396,11/25/2024,    CDCDCO1,261122                        ,72,6010010077               ,0.0
141,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",416,12/15/2024,    CDCDCO1,161222                        ,72,6010010077               ,0.0
142,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",490,2/27/2025,    CDCDCO1,280223                        ,72,6010010077               ,0.0
143,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",554,5/2/2025,    CDCDCO1,030523                        ,72,6010010077               ,0.0
144,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",570,5/18/2025,    CDCDCO1,190523                        ,72,6010010077               ,0.0
145,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",576,5/24/2025,    CDCDCO1,230523                        ,72,6010010077               ,0.0
146,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",586,6/3/2025,    CDCDCO1,040623                        ,72,6010010077               ,0.0
147,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",617,7/4/2025,    CDCDCO1,050723                        ,72,6010010077               ,0.0
148,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",627,7/14/2025,    CDCDCO1,150723                        ,72,6010010077               ,0.0
149,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",644,7/31/2025,    CDCDCO1,010823                        ,72,6010010077               ,0.0
150,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",661,8/17/2025,    CDCDCO1,180823                        ,72,6010010077               ,0.0
151,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",664,8/20/2025,       CDVM,210823                        ,72,6010010077               ,814.0
152,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",664,8/20/2025,    CDCDCO1,210823                        ,72,6010010077               ,4006.0
153,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",683,9/8/2025,       CDGD,090923                        ,72,6010010077               ,0.0
154,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",683,9/8/2025,    CDCDCO1,090923                        ,72,6010010077               ,288.0
155,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",696,9/21/2025,    CDCDCO1,220923                        ,72,6010010077               ,1440.0
156,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",704,9/29/2025,       CDGD,290923                        ,72,6010010077               ,0.0
157,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",704,9/29/2025,       CDVM,290923                        ,72,6010010077               ,0.0
158,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",726,10/21/2025,       CDGD,231023                        ,72,6010010077               ,14690.0
159,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",729,10/24/2025,       CDGD,251023                        ,72,6010010077               ,16200.0
160,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",273,7/25/2024,       CDVM,260722                        ,60,6010010112               ,0.0
161,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",294,8/15/2024,    CDCDCO1,160822                        ,60,6010010112               ,0.0
162,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",321,9/11/2024,    CDCDCO1,120922                        ,60,6010010112               ,0.0
163,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",422,12/21/2024,    CDCDCO1,221222                        ,60,6010010112               ,0.0
