,Lote,Descripción,Dias al Vencimiento,cajas_x_pallets,Fecha de Vencimiento,SKU,Depósito Padre,Cajas Disponibles
130,060823                        ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",648,60,8/4/2025,6010010007               ,      CDCAU,0.0
131,060823                        ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",648,60,8/4/2025,6010010007               ,    CDCDCO1,0.0
132,060823                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",189,272,5/2/2024,6030010170               ,    CDCDCO1,7616.0
133,060823                        ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",189,80,5/2/2024,6030010208               ,       CDVM,0.0
134,060823                        ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",189,80,5/2/2024,6030010208               ,    CDCDCO1,3105.0
135,060922                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",314,72,9/4/2024,6010010077               ,    CDCDCO1,0.0
136,060923                        ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",220,260,6/2/2024,6030010007               ,       CDPI,31200.0
137,060923                        ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",220,260,6/2/2024,6030010007               ,    CDCDCF1,7800.0
138,060923                        ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",220,260,6/2/2024,6030010007               ,    CDCDCO1,3640.0
139,060923                        ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",220,260,6/2/2024,6030010007               ,    CDVMZPA,6240.0
140,060923                        ,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",190,377,5/3/2024,6030010129               ,       CDVM,33176.0
141,060923                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",220,272,6/2/2024,6030010170               ,       CDGD,272.0
142,060923                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",220,272,6/2/2024,6030010170               ,       CDPI,32640.0
143,060923                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",220,272,6/2/2024,6030010170               ,       CDVM,188.0
144,060923                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",220,272,6/2/2024,6030010170               ,    CDCDCF1,5712.0
145,060923                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",220,272,6/2/2024,6030010170               ,    CDVMZPA,19584.0
146,060923                        ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",220,80,6/2/2024,6030010208               ,       CDPI,7680.0
147,060923                        ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",220,80,6/2/2024,6030010208               ,    CDCDCF1,0.0
