,Depósito Padre,Descripción,SKU,Lote,Fecha de Vencimiento,cajas_x_pallets,Dias al Vencimiento,Cajas Disponibles
96,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",6030010170               ,071023                        ,7/3/2024,272,251,6528.0
97,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",6030010170               ,100923                        ,6/6/2024,272,224,272.0
98,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",6030010170               ,180923                        ,6/14/2024,272,232,272.0
99,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",6030010170               ,210923                        ,6/17/2024,272,235,3536.0
100,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",6030010170               ,220823                        ,5/19/2024,272,206,210.0
101,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",6030010170               ,300823                        ,5/26/2024,272,213,0.0
102,       CDGD,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",6030010208               ,010923                        ,5/28/2024,80,215,640.0
103,       CDGD,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",6030010208               ,081023                        ,7/4/2024,80,252,3200.0
104,       CDGD,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",6030010208               ,170623                        ,3/13/2024,80,139,2.0
105,       CDGD,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",6030010208               ,260823                        ,5/22/2024,80,209,119.0
106,       CDGD,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",6030010026               ,010923                        ,5/28/2024,108,215,0.0
107,       CDGD,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",6030010026               ,051023                        ,7/1/2024,108,249,9432.0
108,       CDGD,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",6030010026               ,130723                        ,4/8/2024,108,165,83.0
109,       CDGD,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",6090020009               ,011023                        ,7/27/2024,260,275,2600.0
110,       CDGD,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",6090020009               ,070823                        ,6/2/2024,260,220,0.0
111,       CDGD,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",6090020009               ,120923                        ,7/8/2024,260,256,780.0
112,       CDGD,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",6090020009               ,140923                        ,7/14/2024,260,262,1560.0
113,       CDGD,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",6090020009               ,240823                        ,6/19/2024,260,237,524.0
114,       CDGD,"MOSTAZA,ADEREZO NATURA,12,500G,DP,CT,ESP,M.I.",6090020011               ,040723                        ,4/29/2024,144,186,0.0
115,       CDGD,"MOSTAZA,ADEREZO NATURA,12,500G,DP,CT,ESP,M.I.",6090020011               ,070823                        ,6/2/2024,144,220,261.0
116,       CDGD,"MOSTAZA,ADEREZO NATURA,12,500G,DP,CT,ESP,M.I.",6090020011               ,120923                        ,7/8/2024,144,256,144.0
117,       CDGD,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.",6090020010               ,150923                        ,5/12/2024,377,199,1508.0
118,       CDGD,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.",6090020010               ,260823                        ,4/22/2024,377,179,367.0
119,       CDGD,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.",6090020012               ,190923                        ,7/15/2024,80,263,80.0
