,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Cajas Solicitadas,Pallets Solicitados
150,360190,SD,660735,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",350.0,1.346154
151,334294,SD,173847,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",60.0,1.0
152,334294,SD,660143,6090020010,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.     ",58.0,0.153846
153,334294,SD,660144,6090020010,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.     ",29.0,0.076923
154,334294,SD,660819,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",20.0,0.076923
155,334294,SD,660819,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",29.0,0.076923
156,334294,SD,660819,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",34.0,0.125
157,334294,SD,660819,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",16.0,0.2
158,321388,SD,174163,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",3.0,0.06
159,258384,SD,173794,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",71.0,0.493056
160,258384,SD,173795,6010950015,"AC,MAZOLA CLA,MAIZ,12X500ML,B,ESP,M.I.            ",15.0,0.104167
161,258384,SD,173797,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",18.0,0.125
162,226810,SD,660775,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",696.0,2.558824
163,327955,SD,661282,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",42.0,0.161538
164,327955,SD,661282,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",50.0,0.347222
165,223397,SD,174198,6011570002,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.            ",200.0,3.333333
166,223397,SD,174198,6011570001,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.           ",200.0,2.777778
167,223397,SD,174198,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",300.0,1.339286
168,223397,SD,174198,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",200.0,0.892857
169,223397,SD,174198,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",900.0,4.017857
170,223397,SD,174198,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",200.0,0.892857
171,223397,SD,661334,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",647.0,2.488462
172,337685,SD,174167,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",88.0,0.55
173,323541,SD,174159,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",10.0,0.0625
174,323541,SD,174159,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",3.0,0.019231
175,323541,SD,174159,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",12.0,0.076923
176,323541,SD,174159,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",15.0,0.081081
177,354319,SD,661284,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",260.0,1.0
178,280862,SD,661285,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",34.0,0.125
179,261777,SD,661123,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",144.0,1.0
180,280890,SD,660998,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",260.0,1.0
181,228600,SD,173757,6010900017,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.   ",5.0,0.016447
182,228600,SD,660701,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",14.0,0.175
183,335698,SD,174085,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",72.0,1.0
184,335698,SD,660732,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",60.0,0.230769
185,335698,SD,660732,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",54.0,0.375
186,335698,SD,660732,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",68.0,0.25
187,335698,SD,660732,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",36.0,0.333333
188,280889,SD,174171,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",10.0,0.0625
189,280889,SD,174171,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",20.0,0.108108
190,280889,SD,661280,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",80.0,1.0
191,280889,SD,661281,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",160.0,2.0
