,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Pallets Solicitados,Cajas Solicitadas
138,248095,SD,660939,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",1.0,272.0
139,248095,SD,661291,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",1.0,260.0
140,241227,SD,173308,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",0.071429,16.0
141,241227,SD,173329,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",0.035714,8.0
142,241227,SD,173810,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",0.196429,44.0
143,241227,SD,661021,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.461538,120.0
144,267752,SD,661332,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",0.375,102.0
145,248894,SD,174090,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",0.285714,64.0
146,289078,SD,174091,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",0.196429,44.0
147,331183,SD,174095,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",0.142857,32.0
148,331183,SD,660929,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",0.25,68.0
149,331183,SD,660938,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",0.977941,266.0
150,331183,SD,661065,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.230769,60.0
151,331183,SD,661066,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",0.022059,6.0
152,331183,SD,661067,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",1.0,144.0
153,331183,SD,661067,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.576923,150.0
154,277494,SD,174088,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",0.285714,64.0
155,277494,SD,661034,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",0.5,136.0
156,277494,SD,661034,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",0.625,170.0
157,277494,SD,661156,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",0.230769,60.0
158,360190,SD,660735,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",1.346154,350.0
159,334294,SD,173847,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",1.0,60.0
160,334294,SD,660143,6090020010,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.     ",0.153846,58.0
161,334294,SD,660144,6090020010,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.     ",0.076923,29.0
162,334294,SD,660819,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",0.076923,20.0
163,334294,SD,660819,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",0.076923,29.0
164,334294,SD,660819,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",0.125,34.0
165,334294,SD,660819,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",0.2,16.0
166,321388,SD,174163,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",0.06,3.0
167,258384,SD,173794,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",0.493056,71.0
