,Depósito Padre,Descripción,cajas_x_pallets,Dias al Vencimiento,Lote,SKU,Fecha de Vencimiento,Cajas Disponibles
146,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,718,287/23                        ,6010550008               ,10/13/2025,448.0
147,       CDGD,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.",224,623,192/23                        ,6011640001               ,7/10/2025,0.0
148,       CDGD,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.",224,706,275/23                        ,6011640001               ,10/1/2025,1344.0
149,       CDGD,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.",224,707,276/23                        ,6011640001               ,10/2/2025,199.0
150,       CDGD,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",260,184,010823                        ,6050100007               ,4/27/2024,56.0
151,       CDGD,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",260,245,011023                        ,6050100007               ,6/27/2024,4380.0
152,       CDGD,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.",272,182,300723                        ,6050100002               ,4/25/2024,1109.0
153,       CDGD,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.",272,243,290923                        ,6050100002               ,6/25/2024,544.0
154,       CDGD,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",80,130,080623                        ,6050100004               ,3/4/2024,0.0
155,       CDGD,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",80,245,011023                        ,6050100004               ,6/27/2024,160.0
156,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,159,R070723                       ,6030050074               ,4/2/2024,281.0
157,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,164,R120723                       ,6030050074               ,4/7/2024,480.0
158,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,184,R010823                       ,6030050074               ,4/27/2024,1200.0
159,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,185,R020823                       ,6030050074               ,4/28/2024,1360.0
160,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,186,R030823                       ,6030050074               ,4/29/2024,2160.0
161,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,207,R240823                       ,6030050074               ,5/20/2024,480.0
162,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,208,R250823                       ,6030050074               ,5/21/2024,1440.0
163,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,209,R260823                       ,6030050074               ,5/22/2024,880.0
164,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,213,R300823                       ,6030050074               ,5/26/2024,720.0
165,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,214,R310823                       ,6030050074               ,5/27/2024,720.0
166,       CDPI,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",260,214,R310823                       ,6030050070               ,5/27/2024,791.0
167,       CDPI,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",144,201,R180823                       ,6030050071               ,5/14/2024,5475.0
168,       CDPI,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",144,202,R190823                       ,6030050071               ,5/15/2024,414.0
169,       CDPI,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",144,207,R240823                       ,6030050071               ,5/20/2024,5328.0
