,SKU,Depósito Padre,Fecha de Vencimiento,Dias al Vencimiento,Lote,Descripción,cajas_x_pallets,Cajas Disponibles
165,6010550008               ,       CDGD,7/31/2025,644,213/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,0.0
166,6010550008               ,       CDGD,8/21/2025,665,234/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,0.0
167,6010550008               ,       CDGD,8/22/2025,666,235/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,133.0
168,6010550008               ,       CDGD,8/23/2025,667,236/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,736.0
169,6010550008               ,       CDGD,8/27/2025,671,240/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,448.0
170,6010550008               ,       CDGD,8/28/2025,672,241/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,224.0
171,6010550008               ,       CDGD,8/29/2025,673,242/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,1568.0
172,6010550008               ,       CDGD,8/30/2025,674,243/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,2240.0
173,6010550008               ,       CDGD,9/6/2025,681,250/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,896.0
174,6010550008               ,       CDGD,9/7/2025,682,251/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,2464.0
175,6010550008               ,       CDGD,9/8/2025,683,252/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,1344.0
176,6010550008               ,       CDGD,9/10/2025,685,254/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,3808.0
177,6010550008               ,       CDGD,9/11/2025,686,255/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,1120.0
178,6010550008               ,       CDGD,9/24/2025,699,268/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,672.0
179,6010550008               ,       CDGD,9/25/2025,700,269/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,3584.0
180,6010550008               ,       CDGD,9/26/2025,701,270/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,3808.0
181,6010550008               ,       CDGD,9/27/2025,702,271/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,3584.0
182,6010550008               ,       CDGD,9/28/2025,703,272/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,896.0
183,6010550008               ,       CDGD,10/13/2025,718,287/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,448.0
184,6010550008               ,       CDVM,8/9/2025,653,223/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,224.0
