,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Boca de entrega,Artículo@LITM,Artículo@Descripcion,Pallets Solicitados,Cajas Solicitadas
187,SD,661344,241245,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",2.0,216.0
188,SD,661344,241245,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",5.104167,1225.0
189,SD,661344,241245,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",0.083333,9.0
190,SD,661344,241245,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",2.916667,700.0
191,SD,661345,241245,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",24.0,3024.0
192,SD,661346,241245,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",22.287037,2407.0
193,SD,661347,241245,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",15.68254,1976.0
194,SD,661347,241245,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",10.0,1080.0
195,SD,661351,226806,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",0.169118,46.0
196,SD,661351,226806,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",1.7,442.0
197,SD,661351,226806,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",1.736111,250.0
198,SD,661351,226806,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",1.0,260.0
199,SD,661354,232173,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",3.365385,875.0
200,SD,661354,232173,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",1.736111,250.0
201,SD,661355,232173,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",3.472222,500.0
202,SD,661355,232173,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",9.0,972.0
203,SD,661355,232173,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",1.538462,400.0
