,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Boca de entrega,Cajas Solicitadas,Pallets Solicitados
134,SD,661181,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",363993,68.0,0.25
135,SD,661182,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",363993,20.0,0.076923
136,SD,661197,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",299351,8.0,0.030769
137,SD,661198,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",274749,40.0,0.153846
138,SD,661198,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",274749,36.0,0.25
139,SD,661198,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",274749,6.0,0.023077
140,SD,661199,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",274749,20.0,0.076923
141,SD,661199,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",274749,18.0,0.125
142,SD,661199,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",274749,40.0,0.153846
143,SD,661199,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",274749,36.0,0.25
144,SD,661199,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",274749,6.0,0.023077
145,SD,661201,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",241180,20.0,0.076923
146,SD,661201,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",241180,135.0,0.9375
147,SD,661201,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",241180,20.0,0.076923
148,SD,661237,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",338653,40.0,0.153846
149,SD,661237,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",338653,40.0,0.153846
150,SD,661237,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",338653,18.0,0.125
151,SD,661237,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",338653,20.0,0.076923
